GYT,ACX,ACY,ACZ,RTX,RTY,RTZ,message
81028,0.72,-0.03,9.43,0.03,-0.02,-0.00,1
81036,0.73,-0.00,9.41,0.03,-0.02,-0.01,1
81045,0.77,-0.01,9.39,0.03,-0.02,-0.01,1
81054,0.76,-0.00,9.38,0.02,-0.02,-0.01,1
81063,0.78,-0.02,9.39,0.03,-0.01,-0.00,1
81071,0.78,-0.03,9.43,0.03,-0.00,0.00,1
81080,0.80,-0.01,9.40,0.04,0.01,0.01,1
81089,0.79,0.03,9.42,0.04,0.01,0.01,1
81098,0.79,0.01,9.40,0.05,-0.00,0.01,1
81108,0.78,-0.01,9.35,0.05,-0.00,0.01,1
81117,0.75,-0.01,9.30,0.04,-0.01,0.01,1
81125,0.79,0.02,9.38,0.04,-0.03,0.02,1
81134,0.64,-0.03,9.47,0.03,-0.03,0.01,1
81143,0.65,-0.01,9.47,0.03,-0.03,0.00,1
81151,0.70,0.03,9.57,0.02,-0.04,-0.00,1
81160,0.71,0.04,9.51,0.02,-0.02,-0.01,1
81169,0.72,0.01,9.50,0.02,-0.02,-0.01,1
81178,0.74,-0.01,9.40,0.03,-0.02,-0.01,1
81186,0.75,-0.03,9.33,0.02,-0.03,-0.01,1
81195,0.81,-0.02,9.38,0.02,-0.04,-0.00,1
81204,0.87,-0.02,9.37,0.02,-0.03,0.00,1
81213,0.87,-0.04,9.39,0.02,-0.03,0.01,1
81221,0.86,-0.06,9.38,0.02,-0.03,0.01,1
81230,0.86,-0.08,9.31,0.01,-0.04,0.01,1
81239,0.84,-0.07,9.34,0.01,-0.04,0.01,1
81248,0.80,-0.05,9.39,0.00,-0.03,0.01,1
81258,0.69,-0.01,9.51,0.00,-0.03,0.00,1
81266,0.63,0.00,9.62,0.01,-0.03,0.00,1
81275,0.62,0.05,9.69,0.03,-0.03,0.00,1
81284,0.68,0.09,9.62,0.05,-0.02,0.00,1
81293,0.72,0.05,9.48,0.05,-0.01,0.00,1
81301,0.79,0.00,9.28,0.05,-0.01,0.00,1
81310,0.90,-0.01,9.20,0.04,-0.02,0.01,1
81319,0.91,-0.03,9.23,0.02,-0.02,0.01,1
81328,0.85,-0.08,9.33,0.01,-0.01,0.01,1
81336,0.75,-0.09,9.41,0.00,-0.02,0.01,1
81345,0.73,-0.03,9.51,-0.00,-0.03,0.00,1
81354,0.72,-0.03,9.53,-0.00,-0.04,-0.00,1
81363,0.68,0.00,9.56,0.00,-0.04,-0.01,1
81371,0.71,0.00,9.52,0.01,-0.04,-0.01,1
81380,0.76,-0.01,9.47,0.02,-0.04,-0.01,1
81389,0.76,-0.05,9.42,0.02,-0.04,-0.01,1
81398,0.79,-0.06,9.40,0.03,-0.03,-0.00,1
